,Employee ID,Employee Chats,Employee Feedback,Division/Organization,Location of Office,chat_sentiment,feedback_sentiment,chat_emotion,feedback_emotion
139,EMP139,We finally automated a task that used to take hours! This is a game-changer.,This initiative looks great but execution is everything,Learning & Development,"Boston, MA",0.699999988,0,surprise,neutral
140,EMP140,Why does leadership always ask for feedback but never actually do anything with it?,"We need to ensure this is accessible to everyone, not just certain teams",Finance,"Denver, CO",-0.800000012,-0.300000012,neutral,neutral
141,EMP141,"I’m so relieved that project is over. It was stressful, but we pulled through as a team!",Great concept but people will only use it if it's easy and practical,HR,"Miami, FL",0.200000003,0,joy,neutral
142,EMP142,"Our new hire is amazing! They’ve only been here a week, but it already feels like they’ve been part of the team forever.","This idea is amazing! If they get it right, it will seriously improve morale.",Marketing,"Miami, FL",0.699999988,0.300000012,surprise,joy
143,EMP143,We spend too much time on manual reports when automation could save us hours every week,This will either be a game-changer or a total disaster—there’s no in-between.,Facilities,"San Francisco, CA",0,-0.600000024,neutral,neutral
144,EMP144,I really wish people would respect deadlines. Now I have to stay late because someone else didn’t do their part on time.,"Wow, they’re actually considering something useful for once! I’m shocked.",Administration,"Dallas, TX",-0.699999988,0.300000012,neutral,surprise
145,EMP145,"Our benefits sound good on paper but in practice, they are hard to actually use when needed",This initiative looks great but execution is everything,Talent Development,"Boston, MA",-0.699999988,0,disgust,neutral
146,EMP146,"Every time I catch up on work, another pile lands on my desk. It never ends.",This is a great idea but we need to consider cost and implementation challenges,Learning & Development,"Washington, D.C.",0,0,neutral,neutral
147,EMP147,"The company surprised us with a bonus today! Didn’t see that coming, but I’m definitely not complaining.","If this isn't executed well, it could just be another initiative that fails quickly",Corporate Benefits,"Dallas, TX",0.699999988,-0.699999988,surprise,neutral
148,EMP148,Had a random conversation with a coworker today that totally made my day. It’s nice to have good people around.,This would improve morale but only if leadership truly supports it,Marketing,"Seattle, WA",0.899999976,-0.400000006,joy,neutral
149,EMP149,"Just got back from a training session, and it was actually useful! I learned so much.",It will only work if employees are given time and support to actually use it,Administration,"Seattle, WA",0.899999976,-0.600000024,joy,neutral
150,EMP150,I’m beyond frustrated—our department keeps getting blamed for things we have no control over.,"Wow, they’re actually considering something useful for once! I’m shocked.",Facilities,"Los Angeles, CA",-0.800000012,0.300000012,anger,surprise
